slide_index,text
3,"The Brain and Subdivisions Coronal
MRI
• brain inc. right and left cerebral hemispheres, brainstem, cerebellum
• transverse fissure btw cerebrum and cerebellum
• longitudinal fissure btw cerebral hemispheres
• cerebral hemispheres: frontal, parietal, occipital, temporal lobes, diencephalon
• brainstem: midbrain, pons, medulla
• cerebellum
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer
4"
4,"The Skull: Anterior View Frontal bone
• forms forehead, roofs of orbits
• supraorbital foramen / notch
– supraorbital nerve
Maxillary bones
• infraorbital foramen
– infraorbital nerve
• superior alveolar process
– houses maxillary teeth
Nasal bones
Zygomatic bones
Mandible
• inferior alveolar process
– houses mandibular teeth
• mental foramen
– mental nerve
5
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer"
5,"The Skull: Superior View
Frontal bone
R, L parietal bones
• the coronal suture, bregma
• the sagittal suture
Occipital bone
• the lambdoid suture
6
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer"
6,"The Skull: Posterior View
Right, left parietal bones
• sagittal suture
Occipital bone
• the lambdoid suture, lambda
• external occipital protuberance
Mandible
7
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer"
7,"The Skull: Lateral View Occipital bone
Parietal bone
Frontal bone
Nasal bone
Maxilla
Zygomatic bone (zygoma)
Mandible
• head, ramus, angle body
• mental foramen
Sphenoid bone
• greater wing
Temporal bone
8
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer"
8,"Zygomatic arch
The Temporal Bone
• temporal bone and zygoma
Squamous part of temporal bone
Squamous suture
External acoustic meatus
Temporomandibular joint / TMJ
Mastoid process
• mastoid air cells
Styloid process
Pterion
9
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer"
9,"Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer
The Skull: Inferior View Occipital bone
• occipital condyles
articulate with C
1
Temporal bones
• mastoid process
• styloid process
• mandibular fossa
– articulates with
head of mandible
• contributes to
zygomatic arch
11"
10,"Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer
The Skull: Inferior View Zygomatic bone
(zygoma)
• contributes to
zygomatic arch
Sphenoid bone
Maxilla
• palatine process
Palatine bones
• horizontal plate
Vomer
12"
11,"The Paranasal Sinuses
• paired
• named according to bone
• open into nasal cavities
• lined by mucous membrane
frontal sinuses
ethmoid air cells
maxillary sinuses
sphenoid sinuses
13"
12,"Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer
The Skull Base
Sphenoid bone
• body inc. hypophyseal fossa /
sella turcica
– houses the pituitary gland
• greater wing
• lesser wing
• sphenoidal crest
Ethmoid bone
• crista galli
14"
13,"Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer
The Skull Base
Frontal bone
• orbital plates
Temporal bones
• squamous part
• petrous part
• petrous ridge
Occipital bone
• foramen magnum
Jugular foramen btw temporal
and occipital bones
15"
14,"Cranial Fossae Anterior cranial fossa
• houses frontal
lobes of brain
Middle cranial fossa
• houses temporal
lobes of brain
Posterior cranial fossa
• houses the
cerebellum
16
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer"
15,"Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer
Cranial Meninges
Intracranial membranous coverings of CNS
Three layers, superficial to deep:
1. dura mater
– periosteal layer
fused, except along lines of
– meningeal layer attachment of dural reflections…..
2. arachnoid mater
• subarachnoid space contains CSF, BVs
3. pia mater
Meningeal arteries btw cranium and dura
• esp middle meningeal arteries
18"
16,"The Pterion and Middle Meningeal Artery
• middle meningeal artery lies deep to the pterion
• skull thin at the pterion
• fracture in region of pterion a common cause of
epidural hematoma
19
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer"
