question,answer,grade
In which plane could ONLY the right lung be seen in a thorax section?,parasagittal plane,correct
In which plane could ONLY the right lung be seen in a thorax section?,horizontal plane cutting through the feet,incorrect
A radiologist wants to isolate the right lung in a thoracic image. Which imaging plane should they choose?,parasagittal plane,correct
A radiologist wants to isolate the right lung in a thoracic image. Which imaging plane should they choose?,coronal slice through the pelvis.B8,incorrect
Which imaging study produces detailed soft-tissue images without ionizing radiation?,MRI (Magnetic Resonance Imaging),correct
Which imaging study produces detailed soft-tissue images without ionizing radiation?,full-body dental X-ray,incorrect
Describe why we would use an MRI overt a CT scan?,MRI is preferred when superior soft-tissue detail is needed and to avoid ionizing radiation,correct
Describe why we would use an MRI overt a CT scan?,Because MRI is much better for examining the bones of the toes than any CT scan,incorrect
A patient needs detailed soft-tissue imaging but should avoid radiation. Which imaging test should be chosen for this situation?,MRI (Magnetic Resonance Imaging),correct
A patient needs detailed soft-tissue imaging but should avoid radiation. Which imaging test should be chosen for this situation?,They should get a standard chest X-ray,incorrect
What term describes the position of the arms relative to the thorax?,Lateral,correct
What term describes the position of the arms relative to the thorax?,The arms are posterior to the thorax,incorrect
Which cell junction permits molecular and ionic movement between adjacent cells?,Gap junctions,correct
Which cell junction permits molecular and ionic movement between adjacent cells?,The desmosome.,incorrect
Describe how certain cell junctions allow communication or passage of molecules between neighboring cells.,Gap junctions form channels that let ions and small molecules pass directly between neighboring cells for rapid communication.,correct
Describe how certain cell junctions allow communication or passage of molecules between neighboring cells.,They communicate by ripping tiny gaps in the membrane,incorrect
What epithelium appears stratified but has every cell touching the basement membrane?,Pseudostratified columnar epithelium,correct
What epithelium appears stratified but has every cell touching the basement membrane?,keratinized epithelium,incorrect
Explain how a tissue can appear stratified even though all of its cells make contact with the basement membrane.,"Because the cells have different heights and their nuclei sit at different levels, the tissue looks multilayered even though every cell still touches the basement membrane.",correct
Explain how a tissue can appear stratified even though all of its cells make contact with the basement membrane.,cells stack on top of each other in multiple full layers,incorrect
What molecule provides tensile strength in connective tissue?,Collagen,correct
What molecule provides tensile strength in connective tissue?,glucose,incorrect
A patient has a genetic defect that reduces the body's ability to produce strong protein fibers in connective tissue. How would this effect tissue strenght. ,"It would weaken the tissue, because reduced collagen production lowers its tensile strength and makes it more prone to tearing or stretching.",correct
A patient has a genetic defect that reduces the body's ability to produce strong protein fibers in connective tissue. How would this effect tissue strenght. ,"Their tissues would become completely unable to bend or stretch at all, turning almost rigid like stone.",incorrect
What component occupies the largest volume in loose (areolar) connective tissue?,The ground substance occupies the largest volume in loose (areolar) connective tissue.,correct
What component occupies the largest volume in loose (areolar) connective tissue?,keratin plates,incorrect
What bone matrix component provides compressional strength?,The inorganic mineral salts provide compressional strength in bone.,correct
What bone matrix component provides compressional strength?,elastic cartilage fibers are what give bone its compressional strength,incorrect
Explain how certain components of the bone matrix allow bone to resist compression.,"Bone resists compression because its matrix contains mineral salts (hydroxyapatite crystals), which are rigid and hard. These minerals allow the bone to withstand forces that push or squeeze it.",correct
Explain how certain components of the bone matrix allow bone to resist compression.,Bone resists compression because large pockets of trapped air inside the matrix expand outward,incorrect
A patient has a disorder that reduces the inorganic component of their bone matrix. How would this affect the bone’s ability to withstand compressional forces?,"It would weaken the bone, making it less able to resist compression and more prone to deformation or fractures under load.",correct
A patient has a disorder that reduces the inorganic component of their bone matrix. How would this affect the bone’s ability to withstand compressional forces?,Their bones would become so heat-resistant that compression no longer affects them at all,incorrect
Where is toluidine blue staining (for myelin) highest and most homogeneous?,"In white matter, where myelinated axons are most abundant and evenly distributed.",correct
Where is toluidine blue staining (for myelin) highest and most homogeneous?,"It is strongest in the heart’s left ventricle, where myelin is most densely packed.",incorrect
Describe why certain regions of nervous tissue show stronger and more uniform toluidine blue staining for myelin?,"Because white matter contains dense, evenly packed myelinated axons, it binds more dye, producing stronger and more uniform staining.",correct
Describe why certain regions of nervous tissue show stronger and more uniform toluidine blue staining for myelin?,"Those regions actually show almost no stain at all, because tightly packed myelinated fibers completely repel toluidine blue.",incorrect
How does the spine adjust when carrying a heavy load in a backpack?,"The spine extends (leans backward) to counterbalance the weight pulling the body forward, helping keep the center of gravity over the feet.",correct
How does the spine adjust when carrying a heavy load in a backpack?,"It bends sharply to the left side, regardless of where the backpack is placed.",incorrect
