question,slide_text,bloom_label
What are the names of the lobes that make up the cerebral hemispheres?,"The Brain and Subdivisions Coronal
MRI
• brain inc. right and left cerebral hemispheres, brainstem, cerebellum
• transverse fissure btw cerebrum and cerebellum
• longitudinal fissure btw cerebral hemispheres
• cerebral hemispheres: frontal, parietal, occipital, temporal lobes, diencephalon
• brainstem: midbrain, pons, medulla
• cerebellum
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer
4",remember
How is the brain organized into its major subdivisions and what structures are included in each subdivision?,"The Brain and Subdivisions Coronal
MRI
• brain inc. right and left cerebral hemispheres, brainstem, cerebellum
• transverse fissure btw cerebrum and cerebellum
• longitudinal fissure btw cerebral hemispheres
• cerebral hemispheres: frontal, parietal, occipital, temporal lobes, diencephalon
• brainstem: midbrain, pons, medulla
• cerebellum
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer
4",understand
What fissure separates the right and left cerebral hemispheres?,"The Brain and Subdivisions Coronal
MRI
• brain inc. right and left cerebral hemispheres, brainstem, cerebellum
• transverse fissure btw cerebrum and cerebellum
• longitudinal fissure btw cerebral hemispheres
• cerebral hemispheres: frontal, parietal, occipital, temporal lobes, diencephalon
• brainstem: midbrain, pons, medulla
• cerebellum
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer
4",remember
What are the names of the four lobes of the cerebral hemispheres?,"The Brain and Subdivisions Coronal
MRI
• brain inc. right and left cerebral hemispheres, brainstem, cerebellum
• transverse fissure btw cerebrum and cerebellum
• longitudinal fissure btw cerebral hemispheres
• cerebral hemispheres: frontal, parietal, occipital, temporal lobes, diencephalon
• brainstem: midbrain, pons, medulla
• cerebellum
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer
4",remember
What are the names of the two fissures mentioned that separate major parts of the brain?,"The Brain and Subdivisions Coronal
MRI
• brain inc. right and left cerebral hemispheres, brainstem, cerebellum
• transverse fissure btw cerebrum and cerebellum
• longitudinal fissure btw cerebral hemispheres
• cerebral hemispheres: frontal, parietal, occipital, temporal lobes, diencephalon
• brainstem: midbrain, pons, medulla
• cerebellum
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer
4",remember
"If a blockage developed in the transverse fissure separating the cerebrum and cerebellum, which two brain regions would have their separation impacted?","The Brain and Subdivisions Coronal
MRI
• brain inc. right and left cerebral hemispheres, brainstem, cerebellum
• transverse fissure btw cerebrum and cerebellum
• longitudinal fissure btw cerebral hemispheres
• cerebral hemispheres: frontal, parietal, occipital, temporal lobes, diencephalon
• brainstem: midbrain, pons, medulla
• cerebellum
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer
4",apply
"If a coronal MRI shows a mass located within the longitudinal fissure, which anatomical region would be affected?","The Brain and Subdivisions Coronal
MRI
• brain inc. right and left cerebral hemispheres, brainstem, cerebellum
• transverse fissure btw cerebrum and cerebellum
• longitudinal fissure btw cerebral hemispheres
• cerebral hemispheres: frontal, parietal, occipital, temporal lobes, diencephalon
• brainstem: midbrain, pons, medulla
• cerebellum
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer
4",apply
Describe how the transverse fissure and the longitudinal fissure separate different parts of the brain.,"The Brain and Subdivisions Coronal
MRI
• brain inc. right and left cerebral hemispheres, brainstem, cerebellum
• transverse fissure btw cerebrum and cerebellum
• longitudinal fissure btw cerebral hemispheres
• cerebral hemispheres: frontal, parietal, occipital, temporal lobes, diencephalon
• brainstem: midbrain, pons, medulla
• cerebellum
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer
4",understand
What is the name of the fissure between the right and left cerebral hemispheres?,"The Brain and Subdivisions Coronal
MRI
• brain inc. right and left cerebral hemispheres, brainstem, cerebellum
• transverse fissure btw cerebrum and cerebellum
• longitudinal fissure btw cerebral hemispheres
• cerebral hemispheres: frontal, parietal, occipital, temporal lobes, diencephalon
• brainstem: midbrain, pons, medulla
• cerebellum
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer
4",remember
What is the name of the fissure that separates the right and left cerebral hemispheres?,"The Brain and Subdivisions Coronal
MRI
• brain inc. right and left cerebral hemispheres, brainstem, cerebellum
• transverse fissure btw cerebrum and cerebellum
• longitudinal fissure btw cerebral hemispheres
• cerebral hemispheres: frontal, parietal, occipital, temporal lobes, diencephalon
• brainstem: midbrain, pons, medulla
• cerebellum
Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer
4",remember
