text,summary,fidelity
"What is Histology?
â¢ histology is the study of microscopic anatomy
â¢ it is used to study cells, tissues and organs
â¢ it is foundational for the study of physiology, biochemistry and pathology
â¢ cells are the basic units of the human body
â¢ differentiation is the selective expression of genes in cells with different fates
â¢ this results in the >200 different cell types found in the human body
3
From Histology: A Text and Atlas, 7e by W. Pawlina Â© 2016 Wolters Kluwer","So, histology is microscopic anatomy. We use it to study cells, tissues, and ultimately we do use it to study organs. It's foundational for understanding tissue function, or body function. It's foundational for biochemistry, and of course for pathology.
Diseased tissues.
Cells are the basic units of the human body.
Differentiation, is the selective expression of different genes in different cells in the body, that gives us, ultimately, over 200 different types of cells.
Now, the picture at the bottom is just meant to impress you. So we're looking at the kidney on the left.
This is what's called a dorsal root ganglion, so this is a neuron here with support cells all around it. This is a type of muscle called smooth muscle. So these all, are very, very different from each other.
obviously very different from each other. And that's just the result of, of, differential expression of, of genes in cells.
that are faded to become different tissues, different organs. SoÉ
Tissues will have, similarities, tissues will have differences.",yes
"Basic Tissues
â¢ Cells and their products form tissues
â¢ Tissue: a relatively homogeneous collection of structurally and functionally similar cells
and cell products
â¢ Basic tissues are often divided into four categories based on structure & function:
â connective tissue
â epithelia
â muscle
â neural tissue
â¢ Basic tissues come together to form organs with distinct structures and functions.
4","So, basic tissues. Cells and their products, bold.
form tissues. So it's not just the cells, but the products those cells produce and secrete.
Come together to make a tissue.
So, what is a tissue? In that graphic I showed you earlier, it talked about a community of cells and cell products. So, it's a relatively homogeneous collection of cells that have structural similarities.
And, and also their cell products.
So if you look over here at the picture I showed you, these cells, this is many cells, each of these is a nucleus, so these are all structurally similar cells. They're not similar to this cell.
So you see these, this is one type of tissue, this is a different type of tissue.
So basic tissues are often divided into four categories based on structure function. I'm going to start with connective tissue, because I'm going to talk about the vertebral column on Thursday, so I want to talk about bone. That's where I'm headed.
There's a second type of tissue called epithelia, I'll talk about that next, and muscle and neural tissues.
Each of them has a superpower.
Right? And, muscle, for instance, its superpower is the ability to contract, and when it contracts, it generates tension.
That's its superpower. Neural tissue, its superpower is about communication.
So, basic tissues come together.
And form organs.
So you take this type of connective tissue, and this type of muscle, and this type of neural tissue, and then you line it with this kind of epithelia, and then it's a certain organ. But if you used a different epithelium, or a different muscle, it would be a different organ. So it's all about the ingredients that go into creating the organ.",yes
"Connective Tissues (CT) â¢ Jell-O salad (CT) consists of two components:
are like Jell-O Salads
1. olives, celery, cheese (various cells) suspended in:
2. Jell-O (acellular extracellular matrix (ECM))
â¢ most of the salad (CT) volume is Jell-O (ECM)
â¢ ECM dominates the tissue, determines its characteristics:
ï if ECM is solid, the CT is solid (bone)
ï if ECM is rubbery, the CT is rubbery (cartilage)
ï if ECM is gelatinous, the CT is gelatinous (ordinary CT)
ï if ECM is liquid, the CT is liquid (blood, which by
virtue of its embryological origins is a CT)
5","Now, connective tissues, to me, are like jello salads. So there was a time in the world when, mothers thought that this was a good idea. And this is what's called a jello salad.
Now, I think jello is still a thing, right? People know what Jell-O is.
But what they would do, to make a jello salad is they would take
a bunch of interesting things. In this case, they're taking olives, and celery, and bits of cheese, so they're taking a variety of different things. So that represents the various different cells that you're going to find in a connective tissue. And then these ingredients are suspended
Within this gelatinous substance.
Okay? This is what connective tissues are like. But instead of olives and celery and cheese, in an ordinary connective tissue, and I'm stepping on the word ordinary.
In an ordinary connective tissue, as opposed to cartilage and bone.
So in an ordinary connective tissue, there's anÉ there can be a few different cell types, but the cells are all suspended within an acellular material that the cells produced.
And we call that material extracellular matrix. Extra means outside of. Extracellular, outside of the cell.
Matrix.
So that, that's what all the cells are suspended within.
Most of the salad.
Most of the salad is jello. Most of ordinary connective tissue is the extracellular matrix. The cells make up a smaller part of the tissue as a whole, volume-wise.
Okay?
Now, the extracellular matrix dominates, and it determines the characteristics of the tissue, so if you have a solid extracellular matrix, then you've got a solid connective tissue. That's what bone is. The extracellular matrix is solid.
If you've got a rubbery extracellular matrix, so you can kind of bend it and deform it, and it bounces back.
Then the connective tissue is going to be rubbery, and that's what cartilage is.
If the extracellular matrix is gelatinous.
Then the connective tissue is going to be gelatinous, and that's ordinary connective tissue.
Kind of gelatinous, gooey.
Now, if the extracellular matrix is liquid, then the connective tissue is liquid. Now, blood, by virtue of its embryological origin, is a connective tissue. We study it separately, because it is really quite different.
But the original cells that give rise to bone in the embryo give rise to cartilage, give rise to ordinary connective tissue. Those cells also give rise to blood.
Alright, so it can be considered a connective tissue. And I like to mention it here because it illustrates my point, which is the extracellular matrix determines the characteristics, therefore, the use of the connective tissue.",yes
"Recall:
E
â¢ tissues = cells + cell products
BM
â¢ some tissues mostly cells, others mostly cell products
CT
â¢ CT largely cell products, collectively called
extracellular matrix (ECM), fewer cells
CT cell Ground
Protein
â¢ ECM fills spaces between cells substance
fibres
â¢ ECM composed of protein fibres embedded in CT
amorphous ground substance (GS)
cells ECM
â¢ GS composed of organic molecules and bound protein fibres ground substance
tissue fluid
organic molecules tissue fluid
â¢ we will consider each component in turnâ¦.
6","I want you to remember what I said just a minute ago. A tissue is cells plus cell product.
And the extracellular matrix, that's cell product.
Some tissues are mostly cells. You'll see that with epithelia, muscle, neural tissues, mostly cells. But, connective tissues are mostly cell product.
And collectively, we call that extracellular matrix, and there's fewer cells. So this is my, attempt to illustrate connective tissue down here. See the CT right here?
So, the gray things represent the cells, so we've got 4 cells in my picture. Everything else in this yellow, everything else is extracellular matrix.
And this extracellular matrix, it fills the space between the cells, it supports the cells. What's it made of, though? I've told you it's cell product, but what is it?
It's composed of protein fibers, so I've represented the protein fibers with the pink squiggly lines.
And I've represented protein fibers with the black lines. Those are the protein fibers. And like the cells, the protein fibers are embedded in this amorphous jello, that's called ground substance. So you notice the word ground substance is just pointing at the yellow.
So all this yellow stuff is ground substance, and the protein fibers and cells are suspended within that ground substance. The red here, that's turning into blue, that's my attempt to represent a capillary bed.
So you've got blood flowing into your connective tissue, here's a capillary bed for gas exchange, and then here's a vein flowing away. So that's me trying to represent the blood supply to the connective tissue. All right, so now, this yellow amorphous stuff, we call it ground substance, what's it made of?
It's made of organic molecules, again, produced by the connective tissue cells, plus
Tissue fluid that binds to those organic molecules.
So we've got tissue fluid bound to organic molecules, the organic molecules are produced by the cells.
So we're going to consider each component briefly in turn. So here's my little flowchart. Connective tissue is made of cells and cell product. That's the ECM.
cells and extracellular matrix. The extracellular matrix is made up of protein fibers and ground substance.
What is that ground substance? It sounds likeÉ what is that? Well, it's organic molecules that bind water to varying degrees.
So the tissue fluid is the water, and there's the organic molecules. So that's my little flow chart, and we're going to look at these each in turn.",yes
"Where Does ECM Come From?
E
â¢ CT cells produce, secrete protein fibres,
organic components of GS
BM
â i.e. they are cell products
CT
â¢ in extracellular space, organic components of
GS bind tissue fluid to form GS
CT cell Ground
Protein
substance
fibres
â¢ CT includes CT proper (âordinary CTâ),
cartilage, bone & blood CT
cells ECM
â¢ variety of CT reflects varying composition &
proportion of the components: cells, fibres, GS protein fibres ground substance
â¢ cells specialized for a given CT type (fibrocyte, organic molecules tissue fluid
chondrocyte, osteocyte, blood cells)
7","So, where does the extracellular matrix come from?
As I've said, connective tissue cells, here it is in the flow chart, they produce and secrete the protein fibers, the pink squigglies and the black lines, they produce the protein fibers, they produce the organic molecules, the organic components of the ground substance.
In the extracellular space, so once these organic molecules are secreted, they bind tissue fluid. Now we call that, combined together, ground substance.
Now, when I talk about,
connectiveÉ When I talk about connective tissue, as I've said, we've got ordinary connective tissue, cartilage, and bone.
So it'sÉ there's a huge variety of connective tissues that represents different proportions of different types of fibers. Different types of fibers, different types of organic molecules in the ground substance. That's how we end up with all the great variety of connective tissues.
The cells are specialized. So the cells in ordinary connective tissue are different from the cells in cartilage, bone, and blood. So we have different names for them. So the cells, in ordinary connective tissue, we call it fibroÉ they call them fibrocytes.
In cartilage, we call them chondrocytes. From this day forward, when you hear the word chondro, you think cartilage.
Okay?
Then there's osteocytes. Those are the cells, in bone.
From this day forward, when you hear osteo, you think bone, and then blood cells.
So the cells are specialized for a given connective tissue type.",yes
"CT Components: Fibres
E
CT
cells matrix
BM
protein fibres ground substance
CT
collagen fibres elastic fibres organic molecules tissue fluid
CT cell Ground
Protein
â¢ Different protein fibres have different properties.
substance
fibres
â¢ Two main groups:
1. collagen fibres (>25 types), which, in general, impart on the tissue tensile strength
2. elastic fibres, which impart on the tissue resiliency
â¢ Each CT has its unique composition, proportion of these different fibre types that
determines its characteristics and function
8","fibers. I'm going to talk about fibers first. So I've got a little circle around fibers here. So different protein fibers have different properties.
So, there's wide varieties of protein fibers that connective tissue cells can produce, but there's two main groups, and we'll just learn about those. There's collagen fibers, there's more than 25 different collagenÉ who knew? More than 25 different collagens, in the human body.
In general, and, theyÉ what they do to a tissue is they impart tensile strength, the ability to resistÉ
Tension.
That's what those collagen fibers do.
The second class of protein fibers in connective tissue are elastic fibers. Like the name suggests, they give
Right? Under tension. Quite the opposite of collagen fibers, aren't they? But then they bounce back.
So now I brought a demonstration of this from home, and I don't want toÉ don't wanna overwhelm you with technology. So thisÉ but this is a string, okay? So this represents my collagen fibers.
So when I pull on the collagen fiberÉ remember in my picture, the collagen fiber's wavy and pink.
Right? So here's my collagen fiber. So this tissue that has collagen fibers in it, it can deform, but there's limits. At some point.
Right? That tissue, it doesn't give.
Under tension.
So collagen fibers will never lengthen.
So that's a collagen fiber.
Elastic fiber, brought a bungee cord, okay? So here, if you put tension on a bungee cord, elastic fiber, it'll give. Look at this. It's straight.
Okay? And then when you take the tension away, The elastic fiber bounces back.
So different places you have connective tissue, you want it to have resiliency. You want it to give and bounce back.
Other places, you don't want it to give, you want it to maintain its length. I'll show you different examples, and it'll make all kinds of sense to you.
Now whatÉ usually, there's a mixture. So the thing about elastic fibers is they stretch and bounce back, but they're not terribly strong. If you pull hard enough, it'll snap.
So let's do something clever. Let's put the elastic fiber and the collagen fiber in the same tissue, okay?
And now what's gonna happen? I'm gonna pull on the elastic fiber, it's gonna give, right?
But look, the amountÉ the amount it's gonna give is limited by the collagen fiber. So I'm not going to break the elastic fiber, because there's limits to how far it'll stretch, okay?
So by putting them together, you make a type of connective tissue that has both properties. It'll give.
It'll bounce back, but it won't break.
There's limits, okay? And that limit's imposed by the collagen fibers.
So, each, connective tissue has its own composition.
Different proportions of different connectiveÉ of different fiber types that determine its characteristics and function.
So if you have a whole bunch of these collagen fibers, say I had 20 of these, right, and I applied tension to it in this one direction, that would be really, really strong. And there's places in the body where the collagen fibers are very abundant and lined up in the same direction. We call those tendons, or ligaments.
Right? And they don'tÉ they don't give.",yes
"CT Components: Tissue Fluid
E
CT
cells matrix
BM
protein fibres ground substance
CT
collagen fibres elastic fibres organic molecules tissue fluid
CT cell Ground
Protein
substance
fibres
â¢ Tissue fluid derived from blood plasma, circulates thru CT spaces, returned to blood plasma
â¢ Tissue fluid binds to the organic components of the matrix
â¢ Different organic molecules bind tissue fluid with greater / lesser strength
â¢ Due to bound fluid, ground substance resists compression
â¢ Recall: fibres withstand tensile forces or impart resiliency
9","Okay, soÉ The next component I'm going to talk about is, tissue fluid.
So there's a circle around tissue fluid.
So, tissue fluid is derived from blood plasma.
So here's my blood vessel, remember? Here's the blood vessel going into the capillary bed.
Plasma, is excreted across the wall of the blood vessel.
It circulates through the connective tissue space, so it circulates through the ground substance.
And then ultimately, it's going to be returned to plasma.
So tissue fluid, it's derived from blood plasma, it's returned to blood plasma. So there's a constant flow of tissue fluid out of your vessels, into your connective tissue spaces, it percolates through the connective tissue spaces, it goes back into plasma, and it goes away again. It's delivering nutrients, it's carrying off gases, right?
constant circulation of tissue fluid. It's not a puddle.
Right? In your connective tissue. Now, the tissue fluid, as I mentioned, it binds the organic components of the, of the matrix.
And that forms the ground substance. Now, in different connective tissues, these, this class of molecules are different, and they bind water to different, extents. So it can bind water really strong, or it can bind water not so strong, alright?
And then that's gonna influence the, the, the, the composition of tissue fluid.
Now!
I talked about collagen fibers resisting tension.
What theÉ what the ground substance does
Is, by binding water really tightly, it gives the tissue the ability to resist compression.
And I'll explain. Think about a column of water, say, in a test tube or something like that. Think about a column of water.
And then think about putting pressure on that column of water. Are you going to be able to make it smaller?
No. No. You can't make it smaller. You can't shorten it, right? It resists compression. Water resists compression. If it had somewhere to go, let's say there were holes in the wall of your test tube, yeah, right? The water would flow out the wall of the test tube, yeah, you could push it down. But if the water is contained.
It's going to resist compression. Well, that's what happens in these connective tissue, is because the water is bound so tightly to the organic molecules of the ground substance, the water can't go anywhere. It's bound so tightly, even if we put compression on it.
It's not going anywhere, and it's going to resist compression. So that's a really good, characteristic for some connective tissues in some places in your body. Example is in your vertebral column, in the discs between your vertebrae, they've got a lot of very tightly bound water, and that resists compression.
Of my body weight all day long.
Soap!
Recall that fibers withstand tensile forces or impart resiliency while the ground substance resists compression.",yes
"Circulation of Tissue Fluid â¢ extracellular fluid (ECF) includes:
plasma
â plasma in blood vessels
lymph
â tissue fluid in CT
tissue
TISSUE FLUID
fluid
â lymph in lymphatic vessels
â¢ continual exchange of water and solutes btw these fluid
TISSUE FLUID
compartments
â¢ rate of production, removal of tissue fluid must be
balanced to maintain a constant volume of tissue fluid.
TISSUE
FLUID
â¢ if volume of tissue fluid increases, it is edema.
10
From Colour Textbook of Histology 3rd ed., by Gartner and Hiatt, Â© 2007 by Elsevier","Now, a little bit more about this circulation of tissue fluid. The term extracellular fluid gets tossed around a lot.
Extracellular fluid, extra means outside, so it's just all the fluid in your body that's not inside the cell membrane. All the water that isn't part of your cytoplasms, alright?
So that includes the plasma that's in your blood vessels. Plasma's not inside a cell, so plasma's extracellular fluid.
Tissue fluid, the fluid that's percolating through your connective tissue spaces that I was just talking about. That's extracellular fluid.
And then lymph.
And, lymph is contained within lymphatic vessels. So all these three things
are extracellular fluid. And there's a continual exchange of water between these three components of extracellular fluid.
So I tried to, to illustrate that up here.
So, remember I said that the plasma
It crosses the walls of your blood vessels to become tissue fluid.
And then tissue fluid ultimately goes back to plasma, either directly, back to plasma, or tissue fluid becomes lymph.
And then lymph is dumped into your plasma. But either way.
We go from plasma to tissue fluid, and then back to plasma again.
Either, directly or through this intermediate step.
NowÉ There's something really important.
Probably makes sense to you when I explain that the rate of production of tissue fluid
The rate at which tissue fluid is, is produced Has got to be balanced.
With the rate at which connective tissue, tissue fluid is removed.
Because otherwise, what's going to happen to the volume of your tissue fluid? What if we make all kinds of tissue fluid, and we don't remove it?
the volume.
Goes up.
You'd have an increased volume of tissue fluid.
That's whatÉ that's what edema is.
So you've heard about edema.
Swelling?
That's excess tissue fluid. Too much tissue fluid.
Accumulating in your connective tissue spaces.",yes
"Lymph Returns to Blood â¢ lymph drains away from CT in lymphatic vessels
Blood flow
Blood Lymph Nodes
flow
R lymphatic
IJV
duct
â¢ fxn as in-line filters: detect and clear antigen (inc.
thoracic duct
ISF
subclavian V
cancer cells) from afferent lymph
thoracic
duct
â¢ limit spread of disease, infection
cisterna
chyle Lymph flow
â¢ normally 2-10 mm in diameter;
Lymph
â¢ enlarge with activity, cell proliferation: âpalpableâ
node
to thoracic duct
â¢ enlarged lymph nodes a sign of disease or infection
â¢ many in axillae, groin, neck, mesenteries (abdomen), mediastinum (thorax)
â¢ lymphatic vessels drain lymph into veins in the neck (details to follow)
â¢ all lymph filtered by â¥ one lymph node before returning to venous blood
11
From Grantâs Atlas 13th ed., by Agur and Dalley, Â© 2013 by Wolters Kluwer","A little bit more about that in a second, but let's make sure that everybody understands what lymph is, because I find that lymph is something that peopleÉ people have heard the term, but don't really understand what it is.
SoÉ I mentioned that, that tissue fluidÉ
Can return to plasma either directly or by taking that intermediate step of becoming lymph.
So lymph is the tissue fluid that's drained away from these spaces in lymphatic vessels.
So here's a picture right here.
And I'm gonna try to make itÉ it's kind of a good picture, but I'm gonna try to make it bigger, if I can.
No, I can't.
That's too bad. Alright, so in this picture, what you're seeing is blood
flowing through an arteriole into a capillary bed. Notice how the red
is connected to the blue. So as gas exchange takes place, the blood goes from oxygenated to deoxygenated as it flows through the capillary bed.
And then it leaves.
Here, you're seeing the interstitial space, or the interstitial fluid, tissue fluid, same thing. Alright? There's little black arrows here.
And what those little black arrows are illustrating is the tissue fluid that's being produced. It's leaving the plasma becoming tissue fluid. It's being leaked across the walls of your blood vessels, your capillaries. We call thatÉ that we say the tissue fluid is extra
Visated. Extravisated.
Right? It's pushed out across the wall of the vessel. The vasated part refers to the vessel, extravasated from the lumen of the blood vessel into the tissue space. So now I have all kinds of tissue fluid out here.
Right? Some of that tissue fluid will goÉ will flow back into, across the wall of the vein, and be carried away. But some of it, you see.
It fills these blind-ended green tubes that represents lymph capillaries.
So, the tissue fluid some of it.
Fills these lymphatic vessels, and then flows away from the tissue.
So here, the arrow shows the direction of the lymph flow.
And then the lymph flows through what's called a lymph node. And you've probably heard of lymph nodes. What they do is they function as inline filters.
So the lymph goes in, It percolates through the lymph node.
And then the lymph flows out.
What happens in the lymph node is that any antigen
That's present in the lymph, is detected, and,
Ideally, destroyed. That antigen can include cancer cells.
Because cancer cells are modified, not recognized by the immune system, so the immune system will
try to destroy that antigen. So the lymph node is packed full of lymphocytes, packed full of lymph cells that are primed to detect and destroy anything foreign.
So, therefore, the lymph nodes are going to limit the spread of disease and infection.
Any antigen that flows in, ideally, it's stopped.
So that, that, antigen, that, pathogen, cannot
Flow from a local infection and become a systemic infection.
So let's think about, for instance, you might, get a cut and it becomes infected.
Okay, so you have a cut in your arm, it becomes infected. It's got bacteria in it.
And it's tender, sore, right?
Why does that not become a systemic infection? Because any bacteria flowing away in the lymph goes through the lymph node, the regional lymph nodes, it's detected, it's destroyed, so the bacterium cannot flow to the entire body and cause a systemic infection.
Normally lymph nodes are about 2 millimeters, at most a centimeter in diameter. But if antigen is detected, then the cells that recognize that antigen will proliferate. They'll start dividing, mitosing, at a very rapid rate, so the lymph node gets larger.
And the lymph node becomes palpable. That is, you can feel it on the physical exam.
So, enlarged lymph nodes are a sign of disease, they're a sign of infection.
So it could be a bacterium, it could be cancer cells that cause the lymph node to enlarge.
There are many lymph nodes in the axilla.
Which, from this day hence, you will call your armpit.
Okay, this is your axilla. So axillary lymph nodes are in your armpit.
So if you get that infection in your arm that I was talking about, and the lymph flows away, regional knows there's a few in your elbow. There's a few there.
Right? But there's lots in your armpit. This is one of the things I can talk about with the armpit for 3 hours, is talking about those axillary lymph nodes, and they're going to detect that antigen, they're going to enlarge, and they're going to try to prevent that antigen from spreading to the rest of the body.
So there's lots in the axilla, there's lots in the groin.
Do you remember from my regional, terminology, inguinal? Inguinal? Inguinal is the term for the groin, so these are inguinal lymph nodes. So you learnÉ
The term inguinal, and you know it refers to the groin, those are inguinal lymph nodes.
Lots there, because they're limiting spread of infection from the legs to the rest of the body.
Right? It's like guards.
Where the legs meet the body, where the arms meet the body. There's lots in your mesenteries. Mesenteries are structures in the abdomen that I'm going to describe for you, and they connect your soft organs to the rest of your body. If there's disease in a soft organ, you don't want it spreading to the rest of your body.
So there's a whole, phalanx of, of,
lymph nodes in your mesenteries, preventing spread of disease from the soft organs to the rest of the body. And then in your thorax, which I'll talk about even sooner, the mediastinum is, the region between your lungs.
And so your lungs connect through the mediastinum, your esophagus runs through the mediastinum, your heart's in your mediastinum. So, lots of lymph nodes there, preventing spread of antigen, for instance, from a lung cancer, into the rest of the body.
SoÉ Ultimately, the lymph flows out of the lymph nodes.
hundreds and hundreds and thousands of lymph nodes. The lymph flows out of the lymph nodes.
And it's all cleansed, but it's gotta get back to the plasma, remember?
Where does that happen?
In the neck.
And there'll be details to follow. This is a regional anatomy course, so when I'm talking about the thorax and the head and neck, I'll talk about how and where the lymph empties back into which vessels.
to become part of the plasma again. That cleansed lymph becomes plasma again.",yes
"CT Components: Organic Components of GS
E
CT
cells matrix
BM
protein fibres ground substance
CT
collagen fibres elastic fibres organic molecules tissue fluid
proteoglycans adhesive glycoproteins CT cell Ground Protein
substance
fibres
Proteoglycans are negatively charged, can be intensely hydrophilic molecules; responsible for:
â¢ consistency of matrix,
â¢ turgidity & ability of CT to resist compression
Adhesive glycoproteins stabilize the ECM by linking its components to cell surfaces
â¢ have binding sites for protein fibres, proteoglycans & cell membranes
12","So next up, the organic molecules, of the ground substance. So there's two classes of molecules that have two different, in general, jobs.
to do. So, proteoglycans. Remember I said that organic molecules of the ground substance will,
bind tissue fluid. And because it binds the tissue fluid, it determines the kind of physical property, the ability of the connective tissue to withstand compression.
So the class of molecules that are responsible for this are called proteoglycans, and they're negatively charged molecules, and because they're negatively charged, they bind, water molecules, which are, of course, polar. They have aÉ
positive end and a negative end. So these, proteoglycans will, bind. They're intensely hydrophilic.
They bind water very intensely, so the proteoglycans and bound water are responsible for the consistency of the matrix, and the turgidity, the ability of the connective tissue to resist compression that I was talking about.
So the more tightly it binds the water, the more,
the more the tissue can withstand compression. So that's how we go from a kind of sloppy, gelatinous, ordinary connective tissue to a rubbery cartilage, for instance.
Adhesive glycoproteins are the second class of organic molecules. Their jobÉ look at the word adhesive, we all know that means, like, a glue.
So what they do is they have lots of binding sites, and they link the different components of the,
Of the connective tissue to each other.
So they have binding sites for the collagen fibers, binding sites for the elastic fibers, binding sites for the proteoglycans, binding sites for the cell membranes of the connective tissue cells. So they have binding sites for everything, so their job is basically to organize the different molecules of the connective tissue.",yes
