question,label
In which plane could ONLY the right lung be seen in a thorax section?,remember
A radiologist wants to isolate the right lung in a thoracic image. Which imaging plane should they choose?,apply
Which imaging study produces detailed soft-tissue images without ionizing radiation?,remember
Describe why we would use an MRI overt a CT scan?,understand
A patient needs detailed soft-tissue imaging but should avoid radiation. Which imaging test should be chosen for this situation?,apply
What term describes the position of the arms relative to the thorax?,remember
Which cell junction permits molecular and ionic movement between adjacent cells?,remember
Describe how certain cell junctions allow communication or passage of molecules between neighboring cells.,understand
What epithelium appears stratified but has every cell touching the basement membrane?,remember
Explain how a tissue can appear stratified even though all of its cells make contact with the basement membrane.,understand
What molecule provides tensile strength in connective tissue?,remember
A patient has a genetic defect that reduces the body's ability to produce strong protein fibers in connective tissue. How would this effect tissue strenght. ,apply
What component occupies the largest volume in loose (areolar) connective tissue?,remember
What bone matrix component provides compressional strength?,remember
Explain how certain components of the bone matrix allow bone to resist compression.,understand
A patient has a disorder that reduces the inorganic component of their bone matrix. How would this affect the bone’s ability to withstand compressional forces?,apply
Where is toluidine blue staining (for myelin) highest and most homogeneous?,remember
Describe why certain regions of nervous tissue show stronger and more uniform toluidine blue staining for myelin?,understand
How does the spine adjust when carrying a heavy load in a backpack?,understand
"Explain how the spine changes its curvature when the body carries weight, such as a heavy backpack.",understand
A student carries a heavy backpack that shifts their center of gravity backward. How will the spine adjust its curvature to maintain balance?,apply
What structure changes shape to allow movement between vertebrae?,remember
Describe how specific spinal structures can change shape to permit movement between adjacent vertebrae.,understand
Which structures fuse to form the median sacral crest?,remember
Explain why structure fuse to form the median sacral crest?,understand
The S2 vertebral body is a landmark for what structure?,remember
Knee-jerk reflex is an example of what type of response?,remember
Explain what type of repsonse the the knee jerk reflex is ?,understand
"A clinician taps a patient’s patellar tendon to test reflex function. What type of response should normally occur, and what does it indicate about the neural pathway involved?",apply
Which motor response does NOT involve a ganglion?,remember
Explain why some motor responses  equire ganglia while other do not.,understand
"A patient shows impaired autonomic function but normal voluntary movement. Which type of motor pathway is still functioning normally, and why does it not require a ganglion?",apply
Where do sensory fibres carrying low blood oxygen information travel?,remember
"A patient has damage to the nerve that carries sensory information about low blood oxygen. Which pathway would be disrupted, and how would this affect the body’s response to hypoxia?",apply
What happens to thoracic vertical dimension when the diaphragm contracts?,remember
Explain how contraction of the diaphragm changes the vertical dimension of the thoracic cavity.,understand
A patient takes a deep breath during a physical exam. How does contraction of the diaphragm alter the size of the thoracic cavity to allow this inhalation?,apply
What articulates with the superior costal facet of T4?,remember
What causes blunting of the costodiaphragmatic angle on X-ray?,remember
A patient’s chest X-ray shows a blunted costodiaphragmatic angle. What condition does this suggest?,apply
What normally occupies the costodiaphragmatic recess?,remember
A physician suspects pleural effusion. How would the normal contents of the costodiaphragmatic recess help determine whether pleural effusion is present?,apply
What is the correct airway order during bronchoscopy?,remember
The cardiac notch is a feature of which lung lobe?,remember
Explain why the cardiac notch appears on one lung.,understand
"A clinician is assessing a chest X-ray and notices a clear indentation created by the heart. Which lung lobe does this correspond to, and why does the heart create this shape?",apply
What forms the anterior surface of the heart?,remember
Fluid in the pericardial cavity with hypotension and JVD requires what treatment?,remember
"A patient presents with hypotension, jugular venous distension, and fluid in the pericardial cavity. What treatment is required to relieve the pressure on the heart?",apply
S2 heart sound results from closure of which valves?,remember
A posterior esophageal puncture at T3 risks injuring what vessel?,remember
"During a procedure near the posterior esophagus at the level of T3, which nearby vessel is at risk of being damaged?",apply
A midline thymic tumor compressing a posterior vessel most likely affects which vessel?,remember
A patient has a midline thymic tumor that is growing posteriorly. Which vessel is most likely to be compressed.,apply
Which heart chamber is most closely associated with the esophagus?,remember
A physician is assessing a posterior mediastinal mass that is displacing the esophagus. Which heart chamber would likely be affected as well.,apply
To which region of the abdomen does pain from a gastric ulcer refer?,remember
A patient with a gastric ulcer reports abdominal pain. Which region would you expect the pain to be referred to?,apply
What is the linea alba?,understand
Explain the structure and anatomical role of the linea alba in the anterior abdominal wall.,understand
A surgeon plans a midline abdominal incision. How does the structure of the linea alba make this location advantageous for entering the abdominal cavity?,apply
What describes a direct inguinal hernia?,remember
Explain how a direct inguinal hernia forms?,understand
"A patient presents with a bulge medial to the epigastric artery, what type of inghuinal hernia does this represent?",apply
"During descent of the testes, which layer is NOT passed through?",remember
Explain how the testes pass through specific abdominal wall layers during their descent into the scrotum.,understand
Which layer gives rise to the tunica vaginalis testis?,remember
Which structures are derived from the ventral mesentery?,remember
Explain how the ventral mesentery gives rise to certain abdominal structures during development.,understand
"A developmental anomaly affects organs formed from the ventral mesentery. Which structures would be involved, and why?",apply
Which artery arises from the superior mesenteric artery?,remember
"Describe how the superior mesenteric artery branches to supply portions of the foregut, midgut, hindgut.",understand
A clinician is tracing blood supply to the midgut. Which branch should they expect to originate from the superior mesenteric artery?,apply
Which organ adheres anteriorly to the pancreas in chronic pancreatitis?,remember
A patient with chronic pancreatitis develops adhesions on the anterior surface of the pancreas. Which nearby organ is most likely involved?,apply
Which digestive subdivision has the tallest villi?,remember
Explain why villus height differs among regions of the small intestine.,understand
"A clinician examines a biopsy showing very tall intestinal villi. Which part of the small intestine is the sample most likely from, and why?",apply
Descending colon cancer first metastasizes to which lymph nodes?,remember
Explain how lymphatic drainage from the descending colon determines the first lymph nodes involved in metastasis.,understand
"A patient is diagnosed with descending colon cancer. Based on its lymphatic drainage pattern, which lymph nodes would you expect to be the first site of metastasis, and why?",apply
Which is inconsistent with appendicitis?,remember
Gastro-omental arteries are associated with which stomach region?,remember
Describe how the gastro-omental arteries relate to the curvature of the stomach.,understand
"A surgeon is operating near the greater curvature of the stomach. Which arteries should they expect to encounter there, and why?",apply
The tail of the pancreas is most closely associated with which structure?,remember
To which structure is the bare area of the liver attached?,remember
Explain why the bare area of the liver remains uncovered by peritoneum and how it maintains attachment within the abdominal cavity.,understand
A patient has trauma affecting the region where the liver directly contacts the diaphragm. Which structure is involved?,apply
Which mix in hepatic sinusoids?,remember
Explain how different sources of blood combine within hepatic sinusoids.,understand
"A patient has reduced oxygen delivery to their liver. Which two blood supplies normally mix in the hepatic sinusoids, and how would impairment of one source affect overall liver function",apply
Which structures unite to form the bile duct?,remember
Explain how different ducts from the liver and gallbladder join together to form the bile duct.,understand
Which organ is most at risk of varices due to portal hypertension?,remember
Explain why increased pressure in the portal venous system can lead to varices in specific abdominal organs.,understand
"A patient with portal hypertension develops enlarged veins in the digestive tract. Which organ is most susceptible to varices in this condition, and why?",apply
What are the openings at the tip of each renal papilla?,remember
How much filtered fluid becomes urine?,understand
Where is the true pelvis located?,remember
Describe how the features f the pelvis differentiate the true pelvis from the false pelvis.,understand
What converts the greater sciatic notch to the greater sciatic foramen?,remember
Explain how a ligament transforms the greater sciatic notch into a foramen,understand
Which differentiates a male pelvis from a female pelvis?,remember
Describe the key anatomical differences between a male pelvis and a female pelvis.,understand
"A clinician is evaluating pelvic morphology on imaging. Which features would indicate that the pelvis belongs to a female, and why?",apply
A laceration during childbirth affects which pelvic diaphragm muscle?,remember
Explain which pelvic diaphragm muscles are most involved during childbirth and why one of them is especially vulnerable to tearing.,understand
Pelvic splanchnic nerve input causes what bladder effect?,remember
Damage to the prostatic plexus during prostatectomy causes what outcome?,remember
A patient undergoes prostatectomy and subsequently develops erectile dysfunction. How does damage to the prostatic plexus during surgery lead to this outcome?,apply
The apex of the prostate is closely related to which structure?,remember
"In females, which structure is derived from the gubernaculum?",remember
Explain how the gubernaculum guides the development of reproductive structures in females.,understand
Where does fertilization most likely occur in the uterine tube?,remember
