text,question,relevant
"CT Components: Organic Components of GS
E
CT
cells matrix
BM
protein fibres ground substance
CT
collagen fibres elastic fibres organic molecules tissue fluid
proteoglycans adhesive glycoproteins CT cell Ground Protein
substance
fibres
Proteoglycans are negatively charged, can be intensely hydrophilic molecules; responsible for:
• consistency of matrix,
• turgidity & ability of CT to resist compression
Adhesive glycoproteins stabilize the ECM by linking its components to cell surfaces
• have binding sites for protein fibres, proteoglycans & cell membranes
12",What is the function of proteoglycans in connective tissue matrix?,yes
"Ordinary Connective Tissue, cont. Ordinary CT
3. Specialized CT Proper
1. Loose CT 2. Dense CT 3. Specialized CT
a) reticular tissue: dominated by
delicate reticular fibres, a type of
collagen fibre
– 3D array of interwoven reticular fibres
– organize and support the functional cells
(a) Reticular CT
of certain organs
b) adipose tissue: mostly adipocytes
by volume
– energy storage
– supported by a delicate reticular fibre
stroma
(a) Adipose CT
– very vascular
19
Access for free at: https://openstax.org/books/anatomy-and-physiology-2e/pages/4-3-connective-tissue-supports-and-protects","You are a tissue engineer, and want to develop a material that forms a delicate, three-dimensional meshwork. You intend to seed this meshwork with stem cells hoping that the stem cells will organize themselves into a functional unit within the spaces of this meshwork as they proliferate and differentiate. You explain your idea to a colleague (who, like you, has completed the second week of ANA200Y). What type of tissue do you describe this material as being similar to?",yes
"In-class Work
Why does cartilage heal slowly,
if at all?
https://tinyurl.com/4-3scat
26",Which connective tissue type is unique in that it is avascular?,yes
"Sectional Nomenclature • Produces a 2D image of a 3D structure.
• Shows only structures in the plane of section.
• Frontal / coronal plane divides the body into
anterior and posterior portions.
• Sagittal plane divides the body into right and
left portions.
– Midsagittal plane divides the body into right and
left halves.
– (Para)sagittal plane divides the body into right and
left portions of unequal size
• Transverse / cross sectional / axial plane is
perpendicular to the long axis of the body
– in humans = horizontal plane
– In humans divides the body into superior and
inferior portions
• See examples on next slide
Access for free at:
9
https://openstax.org/books/anatomy-and-physiology-2e/pages/1-6-anatomical-terminology",Which one of the following planes divides the body into anterior and posterior subdivisions?,yes
"Magnetic Resonance Imaging (MRI)
• In magnet, protons in body (mostly in water) align with
magnetic field
• Radio waves pulsed through the patient
• Protons absorb radiofrequency (RF) current, tilt out of
alignment with magnetic field
• At end of RF pulse, protons emit energy as they “relax”
back to align with the applied magnetic field
• MRI detects the energy released and the time it takes
the protons to realign with the magnetic field
• Tissues “relax” differently, emit characteristic signals
• Computer creates 2D sections, 3D reconstructions
• Clearest images of soft tissues, no ionizing radiation
• Expensive, uncomfortable
• See examples here. See an animated explanation here.
15
https://kids.frontiersin.org/article/10.3389/frym.2019.00023 (CC BY 4)",Which one of the following imaging modalities is most likely to be contraindicated in a claustrophobic patient?,yes
"Directional Nomenclature • in reference to the body in the anatomical position
• usually* relative, not absolute
• general terms
ǂ not wrt the cerebrum
– superior vs. inferior
– medial vs. lateral
– median*
– superficial vs. deep
– anterior vs. posterior
Access for free at: https://openstax.org/books/anatomy-
and-physiology-2e/pages/13-1-the-embryologic-perspective
• usuallyǂ = ventral vs. dorsal in humans
• specialized terms
– re. limbs: proximal vs. distal (“closer to the beginning”)
– also, tubular systems, e.g., digestive system, etc.
– re. nervous system: rostral vs. caudal
8
Access for free at: https://openstax.org/books/anatomy-and-physiology-2e/pages/1-6-anatomical-terminology","The pharynx (throat) is __________ to the stomach. (Enter one word. Do not use the word ""superior"".)",yes
"From Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer
Intervertebral Discs
Join each vertebral pair, comprised of the:
1. anulus fibrosus: fibrocartilaginous ring
strongly adhered to the sup. / inf.
surfaces of adjacent vertebral bodies
2. nucleus pulposus: gelatinous core;
makes the disc malleable, so that
it accommodates movement of the
vertebral column by changing shape
• ant., post. longitudinal ligaments help
maintain alignment
• the intervertebral foramen is formed
when vertebrae articulate
• it is the space between adjacent pedicles
• spinal nerves pass through
15",Which one of the following is occupied by a spinal nerve?,yes
"From Moore’s Essential Clinical Anatomy, 7e, © 2019 by Wolters Kluwer
The Bony Thorax
• components:
– 12 thoracic vertebrae & IV discs
– 12 pairs of ribs
– sternum (manubrium, body, xiphoid process)
• costal cartilages (cc) extend ribs anteriorly
– hyaline cartilage
– contribute to elasticity of thoracic wall
• true ribs 1-7, false ribs 8-10,
floating ribs 11-12
• cc of ribs 7 – 10 form the costal margin
• intercostal spaces 1 - 11
4",Ribs 11 and 12 are know as __________ ribs. (Enter one word.),yes
"The Sternum and Articulation of Costal Cartilages
• consists of the manubrium, body and xiphoid process
• manubrium
– jugular (suprasternal) notch
– clavicular notch articulates with medial end of clavicle
– articulates with cc 1st ribs
• manubriosternal joint
– at the sternal angle
– costal notches of 2nd ribs
• body
– costal notches of 3rd – 6th ribs
• xiphisternal joint
– costal notches of 7th ribs
• xiphoid process
From Moore’s Essential Clinical Anatomy, 7e, © 2019 by Wolters Kluwer 11",The costal cartilage of which rib articulates with the sternum at the level manubriosternal joint?,yes
"Lung Lobes
Right lung has 3 lobes: superior, middle, inferior; Left lung has 2 lobes: superior, inferior
• note cardiac notch and lingula of left lung
• note hilum in mediastinal surface of both lungs
Root of lung: the airways, blood vessels, nerves, lymphatics entering / exiting at its hilum
• root enclosed in loose CT and pleural sleeve
19
From Moore’s Essential Clinical Anatomy, 7e, © 2023 by Wolters Kluwer","Which term describes the region of a lung where the airways, blood vessels, nerves and lymphatics access the organ?",yes
